Category,Name,Address,Place_ID,Latitude,Longitude,Rating,Total_Ratings,Phone,Intl_Phone,Website
Police Station,J13 Tharamani Police Station,"X6VV+V5X, Nehru Street, Kanagam, Tharamani, Chennai",ChIJFz9TGYZnUjoRLV53aAG_udQ,12.994747,80.2429914,,,094981 00168,+91 94981 00168,http://www.tnpolice.gov.in/
Police Station,Police Help Centre,"91-94, State Highway 113, Pakkiri Garden, Sankareswarar Nagar, Valasaravakkam, Chennai",ChIJEZlGCs1mUjoRuewvnY-R-js,13.0467075,80.18986269999999,,,,,
Police Station,Police Station,"25JW+CMV, Pachaiyappan Street, Sanjaicolony, MGR Nagar, Nesapakkam, Chennai",ChIJU4xQWChnUjoRO2A9ZyaN0Ts,13.0311055,80.19667679999999,,,,,https://eservices.tnpolice.gov.in/CCTNSNICSDC/PSHomePage
Police Station,M2 Station,"569X+P3J, TNHB Layout, Mathur",ChIJlQTAnjNlUjoRLuavptBbdhg,13.169333,80.2476305,,,094981 00236,+91 94981 00236,
Police Station,Joint Commissioner Of Police - Chennai South Zone,"Block-17, South Zone, Police Office street, Binny Road, Nazarethpuram, Gandhi Nagar, Chennai",ChIJkT6B4UdnUjoR6ocayMuMMLo,13.0096356,80.19911739999999,,,,,http://www.tnpolice.gov.in/
Police Station,TN Police Quarters,"5653+J2J, Ambattur Red Hills Road, New Central Jail, Puzhal, Chennai",ChIJVcV2dLpkUjoRyi3KRNoxYfQ,13.1590978,80.20251019999999,,,,,
Police Station,Police Station,"58H2+V8Q, Jothi Nagar, Tiruvottiyur, Chennai",ChIJBZ_tjiFwUjoRN12fJnWLLag,13.1797017,80.30086469999999,,,,,https://eservices.tnpolice.gov.in/CCTNSNICSDC/PSHomePage
Police Station,Police Check Post,"X7G8+6JX, Water Land Drive Road, Valmiki Nagar, Thiruvalluvar Nagar, Chennai",ChIJx1rxa09dUjoRbkUbmBUUwY0,12.9756076,80.26659939999999,,,,,
Police Station,Police Booth,"40/653, State Highway 49, Valmiki Nagar, Journalist Colony, Chennai",ChIJmzfmd0NdUjoRnurlvB1QAxc,12.9764064,80.2593217,,,,,
Police Station,J7- Velachery Police Station,"1, Velachery Road, Velachery, Chennai",ChIJAQAAAI9dUjoRc2I7omZKMvw,12.9809605,80.2208596,,,044 2345 2605,+91 44 2345 2605,http://www.tnpolice.gov.in/
Police Station,Thiruvottiyur Police Station,"8th Street, Thiruvottiyur High Road, Sbi Colony, Tiruvottiyur, Chennai",ChIJEzwdScBvUjoR15U_PCZg0m8,13.1540069,80.3008227,,,044 2345 2496,+91 44 2345 2496,http://www.tnpolice.gov.in/
Police Station,Police Help Centre,"X6J5+83V, Krishna Raja, 2nd Street, Andal Nagar, Adambakkam, Chennai",ChIJX-uAD_NdUjoRJT8uIdy4rq4,12.9808591,80.20765659999999,,,044 2345 2777,+91 44 2345 2777,
Police Station,Police Station,"449X+5VM, Venkatapuram, Ambattur, Chennai",ChIJQwpkDqljUjoRQ7Gkqx15oaE,13.117973,80.14966960000001,,,,,https://eservices.tnpolice.gov.in/CCTNSNICSDC/PSHomePage
Police Station,E2 Police Station,"3727+RF5, Gowdiamutt Road, Azad Nagar, Royapettah, Chennai",ChIJTX3cbDtmUjoRmmT2ZqAtJf8,13.0520029,80.26373579999999,,,044 2345 2567,+91 44 2345 2567,http://www.tnpolice.gov.in/
Police Station,Office of the Dy. Commissioner of Police,"37QJ+9M3, Rattan Bazaar Road, Esplanade, George Town, Chennai",ChIJSxJvqFZvUjoRq7moIE8PNIk,13.0883872,80.2816674,,,044 2345 2476,+91 44 2345 2476,
Police Station,"Office of the Dy. Commissioner of Police, Anna Nagar District","36R9+X63, 6th Avenue, P Block, Anna Nagar, Chennai",ChIJ8QuxJztkUjoRRnvgw4d9RIc,13.0923791,80.2180427,,,,,
Police Station,Adambakkam Police Station,"No.1, 1st Street, New Colony Main Rd, Adambakkam, Chennai",ChIJ7fLxjlhnUjoRpGTF9JAst3Y,12.9894038,80.2018831,,,044 2345 2777,+91 44 2345 2777,http://www.tnpolice.gov.in/
Police Station,F3 Police Station,"365V+V49, Valluvar Kottam High Road, Ponnangipuram, Nungambakkam, Chennai",ChIJKbbyckZmUjoRd7hNutZUtGM,13.059662,80.2428493,,,044 2345 2680,+91 44 2345 2680,http://www.tnpolice.gov.in/
Police Station,Police Booth,"36M2+34P, 13th Main Road, Shakti Colony, Block Z, Anna Nagar, Chennai",ChIJifCW5hxkUjoReVsNs-ELC1c,13.0827013,80.20032669999999,,,,,
Police Station,Periamet Police Station,"37MC+F7G, Raja Muthiah Road, Periamet, Chennai",ChIJw3-L4_1lUjoRRBiSJlNeDTM,13.0836968,80.270713,,,044 2345 2696,+91 44 2345 2696,
Police Station,R3 Ashok Nagar Police Station,"26V8+HWP, 2nd Street, Raghavan Colony, Kodambakkam, Chennai",ChIJifq1u-VmUjoRLkUtXX-hGPE,13.0439646,80.2173305,,,044 2345 2617,+91 44 2345 2617,http://www.tnpolice.gov.in/
Police Station,C3 Seven Wells Police Station,"193, Savan Walls, 145, Amman Koil Street, Amman Koil North, George Town, 202, Amman Koil Street, Maskan Chavadi, Amman Koil North, George Town, Chennai",ChIJmw7cWllvUjoRUfuRaOXxnxE,13.0988712,80.2816759,,,044 2345 2471,+91 44 2345 2471,
Police Station,K4 Police Station,"36V9+353, 6th Avenue, Anna Nagar, Annanagar East, Chennai",ChIJLfEeJztkUjoRvL8d4rCjXSo,13.0926344,80.217931,,,044 2345 2719,+91 44 2345 2719,http://www.tnpolice.gov.in/
Police Station,C2 Elephant Gate Police Station,"37VG+333, Near, Elephant Gate Street, Adhi Andra Colony, George Town, Chennai",ChIJ___lP_hlUjoRVCBNv9i576g,13.0925322,80.2750538,,,044 2345 2467,+91 44 2345 2467,
Police Station,Chennai Traffic Police,"No. 9, Kodambakkam High Road, Badrikari, Tirumurthy Nagar, Nungambakkam, Chennai",ChIJt-VuVUNmUjoRIBsAOIqBw_8,13.0526462,80.2434255,,,098400 00103,+91 98400 00103,https://eservices.tnpolice.gov.in/
Police Station,Korattur Police Station,"454P+VMQ, East Avenue Road, TNHB Colony, TVS Industries, Korattur, Chennai",ChIJ3QCpAopjUjoRYfh3tl6pAyo,13.1072152,80.18674519999999,,,094981 00083,+91 94981 00083,https://eservices.tnpolice.gov.in/CCTNSNICSDC/Index?2
Police Station,Pondy Bazzar Police Station,"68, Panagal Park, Sir Thyagaraya Road, Pondy Bazaar, T. Nagar, Thagar",ChIJ9xeSelZmUjoRT4rQOjmQfMY,13.0413397,80.2344248,,,044 2345 2624,+91 44 2345 2624,http://www.tnpolice.gov.in/
Police Station,Choolaimedu Police Station,"33-11, Abdulla Street, Sriramapuram, Gangai Amman Koil Street - Boulevard, Sankarapuram, Choolaimedu, Chennai",ChIJcein7otmUjoRhZm0eHKS_vw,13.0623369,80.2276779,,,044 2345 2742,+91 44 2345 2742,
Police Station,E3 Teynampet Police Station,"494, Anna Salai, Teynampet, Chennai",ChIJNXjgwg1mUjoRfpUxB6aoFxk,13.0487503,80.2495225,,,,,
Police Station,Kilpauk G3 Police station,"36HX+8GH, State Highway 114, Sastri Nagar, Chetpet, Chennai",ChIJ957GKXRmUjoRJd8hIiAe6wg,13.078314,80.2488511,,,044 2836 2307,+91 44 2836 2307,http://www.tnpolice.gov.in/
Police Station,K5 Peravallur Police Station,"466G+GHR, Siva Elango Salai, Periyar Nagar West, Periyar Nagar West, Perambur, Chennai",ChIJBV_Fg05kUjoRIX2W8Y9jD80,13.1113705,80.2264022,,,,,http://www.tnpolice.gov.in/
Police Station,Icehouse Police Station,"1, Doctor Natesan Road, Mirsahibpet, Triplicane, Chennai",ChIJCZlf3yZmUjoRVfZ6KhvKr-Q,13.05263,80.27392619999999,,,044 2345 2555,+91 44 2345 2555,http://tnpolice.gov.in/
Hospital,MIOT International,"4/112, Mount Poonamallee Road, Sathya Nagar, Manapakkam, Chennai",ChIJYQZ1odJgUjoRkpdPSbuRpeM,13.0212759,80.1857859,4.5,5828,044 4200 2288,+91 44 4200 2288,http://www.miotinternational.com/
Hospital,"MGM Healthcare, Malar - Adyar","52, 1st Main Road, Gandhi Nagar, Chennai",ChIJyfEeyutnUjoRYhS5bYqe8GU,13.0101544,80.25861599999999,4.4,3349,099625 99933,+91 99625 99933,https://mgmmalar.in/
Hospital,CHENNAI NATIONAL HOSPITAL,"12, Jaffar Sarang Street, Parrys, George Town, Chennai",ChIJ0QJxsEVvUjoRPWEymO8eckU,13.096446,80.29150709999999,4.6,3472,089390 33333,+91 89390 33333,https://chennainationalhospital.com/contact.php
Hospital,Billroth Hospitals,"43, Lakshmi Talkies Road, Shenoy Nagar, Chennai",ChIJN87mRIFmUjoR1NiiPNW-ViM,13.0757774,80.22729009999999,4,2188,044 4292 1777,+91 44 4292 1777,https://billrothhospitals.com/
Hospital,Kanchi Kamakoti CHILDS Trust Hospital,"12 A, Nageswara Road, Nungambakkam, Chennai",ChIJv12LiUJmUjoRIoe_hj9mue8,13.0573353,80.245786,4.4,4053,044 4200 1800,+91 44 4200 1800,https://kkcth.org/
Hospital,Apollo Hospitals Tondiarpet,"645, Thiruvottiyur High Road, Tondiarpet, Chennai",ChIJfZgY0ntvUjoRuTuNrOFus3c,13.1289928,80.29050889999999,4.8,1769,080 6297 2775,+91 80 6297 2775,https://www.askapollo.com/hospital/chennai/apollo-hospitals-tondiarpet
Hospital,St. Isabel's Hospital,"next to Luz Church, No: 49, Oliver Road, Mylapore, Chennai",ChIJ20QQoTNmUjoRcY7XjulIg3E,13.0385565,80.2620359,4.1,1173,044 2499 1081,+91 44 2499 1081,http://stisabelshospital.in/
Hospital,Amar,"36GW+X4W, Poonamallee High Road, Pullapuram, Egmore, Chennai",ChIJq18XEHdmUjoR62Y9toov2GU,13.0774941,80.24533129999999,,,,,
Hospital,BRS HOSPITAL PVT LTD,"28, Cathedral Garden Road, Nungambakkam, Chennai",ChIJ3a6aj0RmUjoRGXqZReOWii0,13.0519656,80.2454434,3.5,206,044 6143 4230,+91 44 6143 4230,http://brshospital.com/
Hospital,Keraleeya Ayurvedic Samajam Hospital,"301, Avvai Shanmugham Salai, Azad Nagar, Royapettah, Chennai",ChIJpZSUpjpmUjoRnwqPKh4b0uo,13.0478405,80.2673296,4.3,33,044 2813 2361,+91 44 2813 2361,http://www.samajam.org/
Hospital,Aakash Fertility Centre & Hospital,"100 feet road, 10, opposite Hotel Ambika Empire, Vadapalani, Chennai",ChIJuwOq6upmUjoReFiGPabPBEg,13.0553078,80.21176950000002,4.7,2184,078712 33333,+91 78712 33333,https://aakashfertilitycentre.in/
Hospital,Institute Of Child Health and Hospital for Children,"Bhanumati, Rina Mandal Road, Egmore, Chennai",ChIJj7go_wxmUjoRuvGRS-UoAD8,13.07349,80.2569271,3.9,325,044 2819 2138,+91 44 2819 2138,
Hospital,Right Hospitals,"behind ega theatre, 1, Vasu Street, Kilpauk, Chennai",ChIJEy47qHlmUjoRVMMBEEwm4Hc,13.0789558,80.2405398,4,149,044 2642 3939,+91 44 2642 3939,
Hospital,Krishna EYE and ENT Hospitals,"39, Burkit Road, T Nagar, Chennai",ChIJGTjy2qpnUjoRzBvK2gnxTiQ,13.0343877,80.2343327,4.4,153,095000 40702,+91 95000 40702,http://www.krishnaeyeandenthospitals.com/
Hospital,Neomed hospitals,"2181, L' Block, 12th Main Road, Anna Nagar, Chennai",ChIJtW5xuB1kUjoRW_jitlhuDjM,13.0836431,80.2029287,4.7,214,,,https://neomedhospitals.com/
Hospital,Ayurveda specialist chennai,"near poonsawmy school, 30, Devaki Ammal Street, Shenoy Nagar, Shakthivel Nagar, Kolathur, Chennai",ChIJ9___01JkUjoRKPlX90QpRMI,13.123532,80.22688,,,044 4351 5986,+91 44 4351 5986,
Hospital,Chennai Hostels,"53/26, Kannagi Street, Annanedumpathai, Veerapandi Nagar, Choolaimedu, Chennai",ChIJWShQa5JmUjoR3gAHkELR4_U,13.0616396,80.2197791,5,1,,,
Hospital,Aashiana Hospital sujai,"1201, K4, Police Station Road, 6th Avenue, Anna Nagar, Chennai",ChIJ__D6BdUjoRxlNhfBeQikw,13.0925012,80.2090077,3.7,17,044 2628 8039,+91 44 2628 8039,
Hospital,Neuro Hospital,"No 25 Rukmani Lakshmipathi Salai, Egmore, Chennai",ChIJAxeLpxZmUjoRE4pqeMnH0gM,13.0713856,80.2625348,3.9,7,044 2855 3901,+91 44 2855 3901,
Hospital,Dr. G. Sengottuvelu – Best Cardiologist in Chennai | TAVI Specialist in Chennai | MitraClip Expert at Apollo Hospitals,"14, Thirumurthy Street, T. Nagar, Chennai",ChIJbckhG1pmUjoR7asZNBWzckc,13.047539,80.23821800000002,4.7,172,094457 76666,+91 94457 76666,https://drsengottuvelu.com/
Hospital,"NephroPlus Dialysis & Kidney Care Clinic in T Nagar, Chennai","3rd floor, Bharathiraja hospital, 20, Gopathi Narayanaswami Chetty Road, T. Nagar, Chennai",ChIJs2VYyaxnUjoR89s826jkF-I,13.0480772,80.2450811,3.2,5,044 2834 1287,+91 44 2834 1287,http://www.nephroplus.com/
Hospital,Madhav Diabetes Centre,"AA2, 2nd Avenue, Anna Nagar, Chennai",ChIJwUfqiyZkUjoR47mF7hcigpA,13.0844537,80.21743359999999,4.8,470,095000 42798,+91 95000 42798,https://www.madhavdiabetescentre.com/
Hospital,Nichi-In Centre for Regenerative Medicine,"C30, III Fl., LICET, Loyola College Campus, Nungambakkam, Chennai",ChIJDRZM_cJmUjoR7EN0SH6HtEw,13.0633873,80.2340478,5,1,044 2817 4743,+91 44 2817 4743,http://www.ncrm.org/
Hospital,Harini Radhakrishnan Kesari Clinic,"rams apartment, No.27, Westcott Road, Indira Garden, Royapettah, Chennai",ChIJB1TomDxmUjoRkvLW7_tZezU,13.0554707,80.2640466,4.8,141,044 2841 9677,+91 44 2841 9677,http://kesarikuteeram.in/
Hospital,Skin Clinic,"opposite Ramakrishna Mission School, Old no 24 / New 61, Burkit Road T. Nagar, opposite Ramakrishna Mission School, Dhandapani Street, corner, Chennai",ChIJPVnNuapnUjoRbgTDVL2uWHA,13.0345325,80.2331645,3.9,10,093810 26333,+91 93810 26333,
Hospital,HAPPY MOM-Pregnancy to Motherhood,"21, Birthing Bay, 2, MC Nicholas Road, Chetpet, Chennai",ChIJ__qzRkUjoRxUDSkKpfCS0,13.0728675,80.24009,5,6,094444 32677,+91 94444 32677,http://www.happymom.in/
Hospital,Nucletron - An Elekta Company,"D Silva Road, CIT Colony, Mylapore, Chennai",ChIJjfShXjNmUjoRBGfKuw-2ovw,13.0373401,80.2603377,5,2,044 2499 2877,+91 44 2499 2877,
Hospital,Sen Hospital,"New No. 51, Old, opp. LOURDES GIRLS HIGHER SECONDARY SCHOOL, 18, Bunder Garden Street, Perambur, Chennai",ChIJWV5fvrBlUjoRND0SvZdzVB0,13.110833,80.2419017,4.2,194,044 2558 6896,+91 44 2558 6896,https://www.senhospital.in/
Hospital,Girishwari Hospitals,"No 19, KB Dasan Road, Alwarpet, Chennai",ChIJLYYnJrVnUjoRMBG-bIeR2ec,13.0351115,80.25187059999999,4,194,086952 28685,+91 86952 28685,https://www.girishwarihospital.com/
Hospital,Madras Port Trust Hospital,"Parrys, Chennai",ChIJ__D1JvUjoRqPDr2mf2BEQ,13.0877563,80.2871828,3.8,5,,,
Hospital,Huma Specialists Hospital & Research Centre Private Limited,"786, Anna Salai, Nandanam, Chennai",ChIJm8EPc6lnUjoRGRh5vASDHU8,13.0282685,80.2353371,2.8,211,044 4390 0000,+91 44 4390 0000,http://humahospital.in/
Hospital,ACS Hospital,"7/4, Taylor Estate 1st Street, Kodambakkam, Chennai",ChIJWRUNZPZmUjoR5euqhFwbegA,13.0510836,80.22976779999999,4,1,,,http://acsmch.ac.in/
Hospital,AAKASH HOSPITAL-ENDOSURG,"No.3, P.S. Sivasamy Salai, Mylapore, Chennai",ChIJvXuCsDFmUjoR_arG7qG2LsY,13.0441478,80.2636993,2.9,22,044 2499 4957,+91 44 2499 4957,http://www.avmmerf.in/
Hospital,Dr C Geetha Haripriya,"77, Harrington Road, Chetpet, Chennai",ChIJqSs4YHJmUjoR26-xpk-9XwI,13.0695998,80.23664310000001,4.8,279,044 4227 7777,+91 44 4227 7777,http://drgeethaharipriya.com/
Hospital,IMMANUEL HEALTH CARE PRIVATE LIMITED,"6, Kanniamman Koil Street, Shenoy Nagar, Chennai",ChIJAQAAwIFmUjoRXDs35gLup5o,13.0751718,80.2282836,4,6,044 2664 2015,+91 44 2664 2015,
Hospital,George Town Hospital,"37WH+6VP, Mint Street, Perumal Koil Garden, George Town, Chennai",ChIJd4NgtFlvUjoRmcOpJAxlW2k,13.0955982,80.2797155,3,2,,,
Hospital,R.L. Hansraj - Surgical Instruments & Hospital Supplies,"3, Nyniappa Street, Rattan Bazaar, Park Town, Chennai",ChIJVVVVhf1lUjoRJ11lJgg2_8g,13.0881582,80.2795213,4.7,10,072003 35150,+91 72003 35150,http://rlhansrajcompany.com/
Hospital,Iswarya IVF & Fertility Centre Adyar Chennai,"13, 1st Main Road, Kasturba Nagar, Adyar, Chennai",ChIJ7yWLbJFnUjoRVSMJqI5KyN4,13.006457,80.24994650000001,4.7,1367,099627 00000,+91 99627 00000,https://iswaryafertility.com/ivf-centers/tamil-nadu/chennai/adyar/
Hospital,Tejas CIMS,"12/14, 2nd Cross Street, Sri Ram Nagar, Alwarpet, Chennai",ChIJD77OXrNnUjoRYF-IrN05FaQ,13.0346408,80.2486242,,,044 2431 5646,+91 44 2431 5646,http://www.tejashealth.com/
Hospital,Tosh Hospital - Orthopedic Center in Chennai,"72, Ormes Road, Kilpauk, Chennai",ChIJ2cPS8tdlUjoR4FYKQ_ggqtw,13.0826814,80.2426018,4.1,114,098944 67903,+91 98944 67903,http://www.toshhospitals.com
Hospital,Sri Ramakrishna Math Chennai,"31, Ramakrishna Mutt Road, Mylapore, Chennai",ChIJMRtdJtJnUjoRvJV4tX895HE,13.0310677,80.2675077,4.8,579,044 2462 1110,+91 44 2462 1110,https://chennaimath.org/
Hospital,Janamma Hospital,"No-56, Venkatakrishna Road, Mandaveli, Chennai",ChIJO48CsclnUjoRxBH7BuOhw80,13.0269094,80.26216629999999,2.6,10,044 2493 8034,+91 44 2493 8034,
Hospital,Flex Next Technologies,"41, Vidwan Sundaram Street, Ponnangipuram, Tirumurthy Nagar, Nungambakkam, Chennai",ChIJBV8jBWhmUjoR1P2wTJz_MTk,13.058924,80.2438969,4,1,044 4213 8862,+91 44 4213 8862,
Hospital,Chinnammal Ent Hospital,"387, Drr Complex, Trunk Road, Karayanchawadi, Thiruverkadu, Thiruverkadu, Chennai",ChIJT55JO2pmUjoRMOmGJ6Iw7jY,13.0603855,80.249513,2.1,20,044 2502 6721,+91 44 2502 6721,https://www.kkrenthospital.org/consultants.html
Hospital,Khivraj Chordia Memorial Dialysis Centre,"48, Arundale Street, Madhavaperumalpuram, Mylapore, Chennai",ChIJOTGjydRnUjoRYsUQmsCuPkQ,13.0361937,80.27268470000001,4.8,8,044 2498 6218,+91 44 2498 6218,https://www.apollodialysis.com/
Hospital,आर्या वैद्य फार्मेसी,India,ChIJ8_0VOE5mUjoRy1C8MmJKUS4,13.0415348,80.2445309,3,1,,,
Hospital,Apollo Hospital,"67a, Kaliamman Koil Street, Virugambakkam, Chennai",ChIJ4WfDFsxmUjoRKr86K5NgpaY,13.0627159,80.251977,3.7,73,,,https://www.apollohospitals.com/
Hospital,Mooligaimani,"Ground floor, 9 bbc manor, 23, Duraiswamy Road, T. Nagar, Chennai",ChIJZ5UoLf9mUjoRIELdAUXNJFA,13.040732,80.2298351,4.8,6,090947 77999,+91 90947 77999,
Hospital,Speed Medical Institute,"527, Poonamallee High Road, Arumbakkam, Chennai",ChIJrbOYAqFmUjoRYM1hus2vxj8,13.0768886,80.20656950000001,3.9,48,098400 77508,+91 98400 77508,http://www.speedmedicalcentre.com/
Hospital,"Government Peripheral Hospital, Periyar Nagar","Karthikeyan Road, Periyar Nagar West, Perambur, Chennai",ChIJE5DWM1BkUjoReopwxHjbHJI,13.1152952,80.2230053,3.9,239,,,
Hospital,Tamilnadu Urological Research Centre PVT LTD,"4th Floor, Kidney Stone Clinic, BRS Hospital, near Anna Flyover, 28, Cathedral Garden Road, Nungambakkam, Chennai",ChIJO_iYxohmUjoRzIwMK8YHgjg,13.0519656,80.2454434,4.8,886,093453 97740,+91 93453 97740,http://www.tnurc.com/
Hospital,Firm Hospitals - Chennai,"No.65, R-Block, 12th Street, Anna Nagar, Chennai",ChIJh0dwmyFkUjoRxeRnuXES3e8,13.091557,80.213966,4.1,240,044 2626 2666,+91 44 2626 2666,https://www.firmhospitals.com/
Hospital,Anchibai Hemraj Katariya Dialysis Centre,"41/33, Watkins Street, Perambur, Chennai",ChIJE0vKLrJlUjoR2hoEyXR7bVw,13.1126772,80.2373439,3.3,8,,,
